MLBAMID,PlayerId,Name,Team,Age,Season,TBF,K%
695243,31757,Mason Miller,OAK,25,2024,249,0.41767068
621242,14710,Edwin Díaz,NYM,30,2024,216,0.38888889
518585,7048,Fernando Cruz,CIN,34,2024,288,0.37847222
623352,14212,Josh Hader,HOU,30,2024,278,0.37769784
663574,19926,Tony Santillan,CIN,27,2024,122,0.37704918
669093,22210,Jeremiah Estrada,SDP,25,2024,252,0.37301587
547973,10233,Aroldis Chapman,PIT,36,2024,265,0.36981132
671305,22533,Michel Otañez,OAK,26,2024,151,0.36423841
489446,9073,Kirby Yates,TEX,37,2024,237,0.35864979
670955,20539,Edwin Uceta,TBR,26,2024,159,0.35849057
671922,27867,Cade Smith,CLE,25,2024,289,0.35640138
673380,23055,Dedniel Núñez,NYM,28,2024,135,0.35555556
676979,27463,Garrett Crochet,CHW,25,2024,595,0.3512605
605483,13543,Blake Snell,SFG,31,2024,418,0.34688995
643377,20253,Griffin Jax,MIN,29,2024,276,0.3442029
664776,21620,Jake Cousins,NYY,29,2024,155,0.34193548
657585,16866,Reed Garrett,NYM,31,2024,247,0.33603239
643410,15551,Mark Leiter Jr.,- - -,33,2024,256,0.3359375
656546,17432,Jeff Hoffman,PHI,31,2024,265,0.33584906
621114,17536,Ryan Burr,TOR,30,2024,140,0.33571429
502085,8241,David Robertson,TEX,39,2024,296,0.33445946
592662,11486,Robbie Ray,SFG,32,2024,129,0.33333333
621381,13799,Matt Strahm,PHI,32,2024,237,0.33333333
677053,25942,Andrew Nardi,MIA,25,2024,210,0.33333333
662253,20373,Andrés Muñoz,SEA,25,2024,232,0.33189655
681911,25007,Alex Vesia,LAD,28,2024,263,0.33079848
694973,33677,Paul Skenes,PIT,22,2024,514,0.3307393
680694,24586,Kyle Bradish,BAL,27,2024,163,0.32515337
663460,21455,Kris Bubic,KCR,26,2024,121,0.32231405
607192,14374,Tyler Glasnow,LAD,30,2024,522,0.32183908
676254,20423,Ryan Walker,SFG,28,2024,308,0.32142857
519242,10603,Chris Sale,ATL,35,2024,702,0.32051282
554340,12095,Yimi García,- - -,33,2024,153,0.32026144
687863,26413,Porter Hodge,CHC,23,2024,164,0.31707317
650556,16609,Bryan Abreu,HOU,27,2024,325,0.31692308
669276,19996,Dylan Lee,ATL,29,2024,240,0.31666667
656629,17282,Michael Kopech,- - -,28,2024,279,0.31541219
518886,6655,Craig Kimbrel,BAL,36,2024,232,0.31465517
596133,16918,Luke Weaver,NYY,30,2024,331,0.31117825
669211,19362,Keegan Akin,BAL,29,2024,313,0.30990415
600917,14524,José Leclerc,TEX,30,2024,288,0.30902778
669062,26252,Erik Miller,SFG,26,2024,284,0.30633803
595014,12572,Blake Treinen,LAD,36,2024,184,0.30434783
669373,22267,Tarik Skubal,DET,27,2024,753,0.30278884
543243,12768,Sonny Gray,STL,34,2024,671,0.30253353
621053,19481,Tyler Ferguson,OAK,30,2024,207,0.29951691
640462,19343,A.J. Puk,- - -,29,2024,294,0.29931973
656427,17479,Jack Flaherty,- - -,28,2024,649,0.29892142
676395,23363,Robert Garcia,WSN,28,2024,251,0.29880478
664854,18138,Ryan Helsley,STL,29,2024,266,0.29699248
641729,15761,Joe Jiménez,ATL,29,2024,277,0.29602888
679885,24453,Justin Martinez,ARI,22,2024,308,0.29545455
656302,18525,Dylan Cease,SDP,28,2024,762,0.29396325
683232,25376,Nick Mears,- - -,27,2024,256,0.29296875
666142,21846,Cole Ragans,KCR,26,2024,762,0.29265092
663485,21461,Cole Sands,MIN,26,2024,292,0.29109589
664849,18439,Danny Young,NYM,30,2024,165,0.29090909
661395,21029,Jhoan Duran,MIN,26,2024,228,0.28947368
601713,15454,Nick Pivetta,BOS,31,2024,595,0.28907563
676962,23590,Ben Brown,CHC,24,2024,222,0.28828829
689147,31776,Orion Kerkering,PHI,23,2024,257,0.28793774
666808,21992,Camilo Doval,SFG,26,2024,271,0.28782288
592094,11861,Jason Adam,- - -,32,2024,282,0.28723404
493603,1247,Adam Ottavino,NYM,38,2024,245,0.28571429
656945,17586,Tanner Scott,- - -,29,2024,294,0.28571429
808967,33825,Yoshinobu Yamamoto,LAD,25,2024,368,0.28532609
554430,10310,Zack Wheeler,PHI,34,2024,787,0.28462516
668674,19360,Lucas Erceg,- - -,29,2024,253,0.28458498
605177,12988,Andrew Chafin,- - -,34,2024,246,0.28455285
445276,3096,Kenley Jansen,BOS,36,2024,218,0.28440367
572955,13435,Pierce Johnson,ATL,33,2024,236,0.28389831
624522,19795,Keegan Thompson,CHC,29,2024,127,0.28346457
607481,16258,Aaron Bummer,ATL,30,2024,244,0.28278689
605130,14993,Scott Barlow,CLE,31,2024,241,0.28215768
579328,20633,Yusei Kikuchi,- - -,33,2024,736,0.2798913
806185,31635,Hayden Birdsong,SFG,22,2024,315,0.27936508
672282,27468,Reid Detmers,LAA,24,2024,391,0.27877238
641941,14771,Emilio Pagán,CIN,33,2024,158,0.27848101
676092,23307,Collin Snider,SEA,28,2024,169,0.27810651
592773,15947,Ryne Stanek,- - -,32,2024,241,0.2780083
701581,30056,David Festa,MIN,24,2024,277,0.27797834
455119,11847,Chris Martin,BOS,38,2024,180,0.27777778
613534,13801,Austin Adams,OAK,33,2024,191,0.27748691
687792,26389,DJ Herz,WSN,23,2024,382,0.27748691
571510,15440,Matthew Boyd,CLE,33,2024,166,0.27710843
605154,12777,John Brebbia,- - -,34,2024,242,0.2768595
650633,19853,Michael King,SDP,29,2024,726,0.2768595
668881,22182,Hunter Greene,CIN,24,2024,611,0.27659574
680704,20517,Nick Sandlin,CLE,27,2024,246,0.27642276
623465,17734,Evan Phillips,LAD,29,2024,228,0.27631579
518617,5003,Jake Diekman,NYM,37,2024,145,0.27586207
642547,18679,Freddy Peralta,MIL,28,2024,725,0.27586207
669302,22250,Logan Gilbert,SEA,27,2024,803,0.2739726
657746,21390,Joe Ryan,MIN,28,2024,538,0.2732342
656730,17722,Trevor Megill,MIL,30,2024,183,0.27322404
625643,16400,Reynaldo López,ATL,30,2024,543,0.27255985
681293,29921,Spencer Arrighetti,HOU,24,2024,632,0.27056962
656731,21318,Tylor Megill,NYM,28,2024,337,0.27002967
676282,23335,Joey Cantillo,CLE,24,2024,163,0.26993865
641927,21224,Bailey Ober,MIN,28,2024,709,0.26939351
657571,19349,Caleb Ferguson,- - -,27,2024,249,0.26907631
676130,23313,José Buttó,NYM,26,2024,294,0.26870748
673513,33826,Yuki Matsui,SDP,28,2024,257,0.26848249
661563,21052,Luis Gil,NYY,26,2024,637,0.26844584
663542,19924,Bryan Hudson,MIL,27,2024,231,0.26839827
676534,20116,Calvin Faucher,MIA,28,2024,235,0.26808511
664076,17897,Garrett Cleavinger,TBR,30,2024,266,0.26691729
622554,19249,Seranthony Domínguez,- - -,29,2024,255,0.26666667
671737,22543,Taj Bradley,TBR,23,2024,578,0.26643599
642397,19677,Gregory Soto,- - -,29,2024,244,0.26639344
656271,17968,Brock Burke,- - -,27,2024,154,0.26623377
607074,16137,Carlos Rodón,NYY,31,2024,736,0.26494565
680570,24492,Grayson Rodriguez,BAL,24,2024,491,0.26476578
656464,19876,Kevin Ginkel,ARI,30,2024,291,0.26460481
682120,25139,Tim Herrin,CLE,27,2024,257,0.26459144
657376,19899,Clarke Schmidt,NYY,28,2024,353,0.26345609
686752,26221,Ryan Pepiot,TBR,26,2024,539,0.26345083
676440,30134,Tanner Bibee,CLE,25,2024,710,0.26338028
628452,17130,Raisel Iglesias,ATL,34,2024,259,0.26254826
663423,17948,Trent Thornton,SEA,30,2024,294,0.26190476
683003,27863,Jared Jones,PIT,22,2024,504,0.26190476
605513,16207,Spencer Turnbull,PHI,31,2024,222,0.26126126
621345,18655,A.J. Minter,ATL,30,2024,134,0.26119403
666974,25911,Yennier Cano,BAL,30,2024,249,0.26104418
670970,20039,Adrian Morejon,SDP,25,2024,272,0.26102941
623149,13892,Paul Sewald,ARI,34,2024,165,0.26060606
605488,17677,Jeffrey Springs,TBR,31,2024,142,0.26056338
663878,20160,Nate Pearson,- - -,27,2024,285,0.25964912
622786,16300,Jesus Tinoco,- - -,29,2024,162,0.25925926
686580,25648,Justin Slaten,BOS,26,2024,224,0.25892857
669622,19742,Anthony Bender,MIA,29,2024,228,0.25877193
573124,13449,Taylor Rogers,SFG,33,2024,249,0.25702811
592454,11384,Tommy Kahnle,NYY,34,2024,179,0.25698324
641154,17085,Pablo López,MIN,28,2024,772,0.25647668
665795,21690,Edward Cabrera,MIA,26,2024,418,0.25598086
680885,31846,Spencer Schwellenbach,ATL,24,2024,500,0.254
543037,13125,Gerrit Cole,NYY,33,2024,390,0.25384615
677161,20349,Zack Kelly,BOS,29,2024,241,0.25311203
641755,18297,Tyler Kinley,COL,33,2024,285,0.25263158
605463,13652,Tayler Scott,HOU,32,2024,282,0.25177305
641656,19261,Ian Hamilton,NYY,29,2024,163,0.25153374
686613,25880,Hunter Brown,HOU,25,2024,712,0.25140449
668678,19291,Zac Gallen,ARI,28,2024,621,0.25120773
640451,15507,Hunter Harvey,- - -,29,2024,219,0.25114155
670059,22361,Colin Holderman,PIT,28,2024,223,0.25112108
592426,11752,Luke Jackson,- - -,32,2024,235,0.25106383
606303,14332,Joel Payamps,MIL,30,2024,235,0.25106383
605280,13649,Clay Holmes,NYY,31,2024,271,0.25092251
621383,16990,Tanner Banks,- - -,32,2024,311,0.25080386
684007,33829,Shota Imanaga,CHC,30,2024,694,0.25072046
543859,10315,Michael Tonkin,- - -,34,2024,340,0.25
594580,14874,Sam Moll,CIN,32,2024,152,0.25
675627,23221,Michael Grove,LAD,27,2024,216,0.25
669674,25379,Sam Long,KCR,28,2024,176,0.25
640455,15873,Sean Manaea,NYM,32,2024,738,0.24932249
681676,24862,Ryan Fernandez,STL,26,2024,285,0.24912281
543339,7146,Daniel Hudson,LAD,37,2024,253,0.24901186
656550,16944,Grant Holmes,ATL,28,2024,282,0.24822695
657514,16835,Brennan Bernardino,BOS,32,2024,226,0.24778761
671212,29608,Joe Boyle,OAK,24,2024,226,0.24778761
669022,22201,MacKenzie Gore,WSN,25,2024,731,0.24760602
666157,26378,Nick Lodolo,CIN,26,2024,493,0.2474645
660896,19459,Jorge Alcala,MIN,28,2024,235,0.24680851
605397,12970,Joe Musgrove,SDP,31,2024,410,0.24634146
593576,11804,Héctor Neris,- - -,35,2024,260,0.24615385
